curTime_of_UTC8,num_send_packets_avg,num_send_packets_std,avg_send_packetLen_avg,avg_send_packetLen_std,send_dataStream_avg,send_dataStream_std,avg_send_packetInterval_avg,avg_send_packetInterval_std,num_recv_packets_avg,num_recv_packets_std,avg_recv_packetLen_avg,avg_recv_packetLen_std,recv_dataStream_avg,recv_dataStream_std,avg_recv_packetInterval_avg,avg_recv_packetInterval_std,mn_u_r_mean_avg,mn_u_r_mean_std,mn_d_r_mean_avg,mn_d_r_mean_std,mn_u_m_mean_avg,mn_u_m_mean_std,mn_d_m_mean_avg,mn_d_m_mean_std,mn_d_g_mean_avg,mn_d_g_mean_std,mn_u_g_mean_avg,mn_u_g_mean_std,mn_u_b_mean_avg,mn_u_b_mean_std,mn_d_b_mean_avg,mn_d_b_mean_std,mn_cqi_mean_avg,mn_cqi_mean_std,mn_mac_mean_avg,mn_mac_mean_std,mn_bandwidth_mean_avg,mn_bandwidth_mean_std,rsrp_1_mean_avg,rsrp_1_mean_std,snr_1_mean_avg,snr_1_mean_std,label
2025-10-20 15:51:03,12.0,0.0,116.08333333333331,0.0,1393.0,0.0,0.0847385128339131,0.0,20.0,0.0,154.3,0.0,3086.0,0.0,0.049058198928833,0.0,0.6,0.0,2.2,0.0,4.6,0.0,0.6,0.0,-58.4,0.0,-56.6,0.0,-59.376,0.0,-59.36,0.0,-57.04,0.0,19.0,0.0,100.0,0.0,-91.0,0.0,1.5366666666666668,0.0,0
2025-10-20 15:51:04,12.0,0.0,120.20833333333331,4.125,1442.5,49.5,0.0845340490341186,0.00020446379979449647,20.5,0.5,127.79285714285714,26.507142857142867,2606.5,479.5,0.04827472141810825,0.0007834775107247519,1.8,1.2000000000000002,4.7,2.5,7.6,3.0,0.8999999999999999,0.3,-37.0,21.4,-34.5,22.1,-39.569,19.806999999999995,-39.567,19.793,-36.12,20.919999999999998,122.0,103.0,100.0,0.0,-92.0,1.0,1.4649999999999999,0.07166666666666688,0
2025-10-20 15:51:05,9.666666666666666,3.2998316455372216,124.60555555555554,7.072119664090111,1184.0,367.80157694061074,0.12106909751892087,0.05166863077216829,20.333333333333332,0.4714045207910317,123.77857142857142,22.37516617199725,2509.3333333333335,414.9251605878931,0.04877566212699524,0.0009545197016552487,1.1333333333333333,1.3597385369580761,3.3333333333333335,2.8110891523077353,5.6000000000000005,3.7416573867739413,0.4666666666666666,0.6599663291074445,-51.0,26.406564840332162,-49.06666666666666,27.385803297004497,-52.77933333333334,24.709727765036632,-52.77333333333333,24.697969813101825,-50.06,26.08469794087458,83.86666666666666,99.90479912841468,100.0,0.0,-92.0,0.816496580927726,1.4411111111111108,0.06756798131338142,0
2025-10-20 15:51:06,10.75,3.418698582794336,122.77559523809522,6.896188925620144,1298.5,375.2189360893184,0.10974603550774707,0.048855611288056294,19.75,1.0897247358851685,124.95892857142857,19.48501411014242,2460.25,369.2555856043345,0.05006039989373037,0.00237381218369584,1.7999999999999998,1.649242250247064,4.75,3.456515586540874,7.550000000000001,4.680544840080052,0.8,0.8124038404635961,-36.9,33.457585089184185,-34.349999999999994,34.81705760112419,-39.572500000000005,31.323941717957528,-39.5715,31.310661039811986,-36.15,33.026851197169854,123.1,110.0158624926424,100.0,0.0,-91.41666666666667,1.2332207155790602,1.6124999999999998,0.3025665675149483,0
2025-10-20 15:51:07,12.6,4.8,121.84047619047617,6.445442412368335,1511.2,541.8455130385413,0.0974857994488307,0.05010738624539436,19.4,1.2,128.85603174603176,19.091418818725025,2488.2,334.96949114807455,0.05123295401769967,0.003163466472292688,1.4,1.6780941570722425,3.9200000000000004,3.5090739519138094,6.360000000000001,4.815641182646399,0.56,0.8708616422830897,-45.32,34.338223599947625,-43.11999999999999,35.74120311349353,-47.498000000000005,32.19014850540457,-47.4944,32.17724931438361,-44.507999999999996,33.94175858732131,100.0,108.70709268488419,100.0,0.0,-91.73333333333333,1.2719189352225928,2.0346666666666664,0.886643107456433,0
2025-10-20 15:51:08,13.5,4.8218253804964775,120.82076719576719,6.310214371325474,1606.5,538.5854156955979,0.09040874920824843,0.04840160118728416,19.166666666666668,1.2133516482134197,136.29669312169312,24.0946557483107,2594.0,386.6160886460883,0.05239745104123671,0.0038884272772205797,1.133333333333333,1.6438437341250605,3.366666666666667,3.4339805215263266,5.566666666666667,4.740487551109298,0.4000000000000001,0.8717797887081347,-50.93333333333334,33.76599209592726,-48.96666666666666,35.148905467390534,-52.781666666666666,31.671602178537725,-52.77633333333333,31.659231037548736,-50.080000000000005,33.395684351923876,84.60000000000001,105.04043665814291,100.0,0.0,-91.77777777777779,1.1653431646335004,1.9049999999999996,0.8597561023659882,0
2025-10-20 15:51:09,14.857142857142858,5.565931353936616,120.44885635413586,5.912724472158792,1765.4285714285713,632.6016252955178,0.08374453690422712,0.04769184186232385,19.428571428571427,1.2936264483053452,141.11145124716555,25.233068545811413,2733.4285714285716,494.73307583638535,0.05172918224010333,0.003954666215737416,1.514285714285714,1.785199925921521,4.371428571428572,4.020559408737007,6.628571428571429,5.101740399318728,0.6285714285714287,0.9822921964383478,-42.77142857142858,37.107477655577505,-40.37142857142857,38.75850926978909,-45.23514285714286,34.66254300879748,-45.23142857142857,34.65073932362006,-42.13428571428572,36.534277782121606,100.8,105.0329472118154,100.0,0.0,-91.57142857142857,1.1914281907806497,1.9366666666666663,0.7997499609252882,0
2025-10-20 15:51:10,16.125,6.193494570918747,119.54774930986888,6.022809077565079,1898.625,688.7312497447753,0.07829134472634888,0.04688666059974202,19.25,1.299038105676658,145.61835317460316,26.444364892973,2790.375,486.6887962291715,0.0520225637725421,0.003779810952043875,1.2999999999999998,1.76351920885484,3.9,3.96232255123179,6.0,5.053711507397312,0.5,0.9797958971132712,-47.3,36.72056644443275,-45.1,38.35309635479253,-49.48075,34.314452668482126,-49.475750000000005,34.3029061369077,-46.61,36.16812685224381,89.14999999999999,102.97080897030965,100.0,0.0,-91.54166666666666,1.117257306482662,1.7974999999999999,0.8337994529728223,0
2025-10-20 15:51:11,16.555555555555557,5.964918013986466,119.04799938655012,5.8516458507188345,1943.3333333333333,661.5404581563986,0.07521529999862332,0.04505322681942736,19.0,1.4142135623730951,147.64115053428776,25.580023751493208,2789.777777777778,458.8577067694607,0.05275024594156456,0.0041153007596539965,1.5777777777777777,1.8389476324957512,4.622222222222223,4.2577453025901395,6.777777777777778,5.248021379059133,0.6666666666666666,1.0370899457402698,-41.355555555555554,38.487259395837334,-38.84444444444445,40.25637592318931,-43.978,35.90114798535928,-43.974222222222224,35.88983935996302,-40.815555555555555,37.83371427447309,101.24444444444444,102.93241699841603,100.0,0.0,-91.40740740740739,1.1197197376171126,1.8340740740740742,0.7928909095916232,0
2025-10-20 15:51:12,17.0,5.813776741499453,118.54796135265701,5.750471768826331,1988.5,642.0533077556722,0.07245890362942273,0.04353381916000217,18.9,1.374772708486752,149.99370214752565,25.27279852827531,2818.9,443.99131748267325,0.05293517105274392,0.00394333690912534,1.8,1.8676188047886002,5.18,4.372139064576972,7.42,5.3385016624517405,0.8400000000000001,1.1128342194594845,-36.559999999999995,39.24434226738932,-33.8,41.07962998859654,-39.5756,36.52989619257082,-39.573600000000006,36.51796538472537,-36.184,38.48782539972868,111.17999999999999,102.09804895295503,100.0,0.0,-91.33333333333333,1.0852547064066487,1.7276666666666667,0.8171359875946123,0
