addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.33.143.175:37407,36.155.199.156:40344,23613,4762 kB,37082,4247 kB,60695,9009 kB,55.605342000,1262.5679
10.33.143.175:34760,36.151.54.79:80,1152,137 kB,991,138 kB,2143,276 kB,56.097878000,1275.1937
10.33.143.175:41694,183.194.190.204:5010,253,16 kB,258,72 kB,511,88 kB,55.843511000,1270.8579
10.33.143.175:53790,36.155.199.46:40344,224,24 kB,227,30 kB,451,55 kB,60.612102000,510.7456
10.33.143.175:45628,221.181.81.139:17005,122,7808 bytes,123,42 kB,245,50 kB,26.449971000,1344.0987
10.33.143.175:34551,36.155.213.46:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,27.368156000,79.9716
10.33.143.175:58399,120.232.24.98:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,27.368183000,79.9825
10.33.143.175:49030,111.30.183.207:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,27.368211000,79.9876
10.33.143.175:41098,111.10.17.149:5010,49,3724 bytes,50,3800 bytes,99,7524 bytes,27.368196000,79.9855
10.33.143.175:48504,36.155.199.46:40344,49,10 kB,2,272 bytes,51,10 kB,1134.466955000,9.8498
