addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.36.199.110:57200,183.215.49.22:443,193812,126 MB,93049,15 MB,286861,142 MB,887.534823000,1540.9326
10.36.199.110:41420,183.215.49.96:443,13450,1627 kB,35425,7723 kB,48875,9350 kB,34.472956000,849.1719
10.36.199.110:59680,39.156.125.75:8000,880,93 kB,1554,163 kB,2434,257 kB,887.634165000,1552.1225
10.36.199.110:33324,39.156.125.75:8000,484,52 kB,867,105 kB,1351,157 kB,34.650009000,863.4360
10.36.199.110:39671,81.69.145.161:443,403,108 kB,389,55 kB,792,164 kB,826.888933000,1597.9657
10.36.199.110:34125,81.69.145.161:443,193,72 kB,187,33 kB,380,106 kB,10.750614000,502.6074
10.36.199.110:51773,175.178.30.199:443,98,91 kB,100,56 kB,198,148 kB,11.052269000,0.8822
10.36.199.110:40677,175.178.30.199:443,60,70 kB,66,27 kB,126,98 kB,35.021260000,0.5219
10.36.199.110:60048,81.69.145.161:443,60,9371 bytes,62,8649 bytes,122,18 kB,513.112432000,313.9042
10.36.199.110:59742,175.178.30.199:443,59,68 kB,52,24 kB,111,92 kB,887.978830000,0.4691
