addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.46.26.89:55353,42.187.184.109:8007,148913,114 MB,59762,9158 kB,208675,123 MB,64.762806000,1379.4727
10.44.208.73:60051,111.22.250.108:443,56162,50 MB,28237,4630 kB,84399,55 MB,1532.856740000,516.3907
10.46.26.89:38525,39.156.140.86:8000,836,94 kB,1471,195 kB,2307,290 kB,52.344358000,1391.2733
10.44.208.73:51129,39.156.140.86:8000,308,35 kB,528,63 kB,836,98 kB,1532.226307000,528.2293
10.46.26.89:47611,81.69.87.243:443,308,106 kB,288,52 kB,596,158 kB,44.899984000,897.2481
10.46.26.89:60335,81.69.87.243:443,89,13 kB,88,11 kB,177,24 kB,941.550583000,498.2338
10.46.26.89:56067,120.53.67.225:443,87,90 kB,79,22 kB,166,113 kB,52.381453000,106.3190
10.46.26.89:38457,120.53.67.225:443,90,91 kB,75,24 kB,165,115 kB,52.631706000,106.1132
10.44.208.73:41980,111.42.180.50:443,37,21 kB,40,21 kB,77,43 kB,2044.873109000,4.2026
10.46.26.89:44325,42.187.184.109:8007,10,5250 bytes,10,5250 bytes,20,10 kB,58.155865000,2.9193
