addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.21.139.155:39568,36.155.199.152:11919,12547,2383 kB,15521,1810 kB,28068,4193 kB,83.509885000,781.0375
10.21.139.155:56218,112.48.233.174:80,618,67 kB,620,86 kB,1238,154 kB,84.113351000,789.0265
10.21.139.155:37507,183.194.190.204:5010,158,10 kB,163,46 kB,321,56 kB,83.965229000,791.4264
10.21.139.155:55860,183.194.189.203:17005,61,3904 bytes,62,22 kB,123,26 kB,37.389078000,877.3518
10.21.139.155:39901,36.155.213.46:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,38.345224000,140.1456
10.21.139.155:39856,120.232.24.98:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,38.345247000,140.1115
10.21.139.155:54589,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,38.345263000,140.1445
10.21.139.155:38532,111.30.183.207:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,38.345280000,140.1594
10.21.139.155:58649,183.194.237.51:5009,10,1120 bytes,10,4070 bytes,20,5190 bytes,318.454183000,0.9751
10.21.139.155:38639,183.194.237.51:5009,10,1120 bytes,10,4080 bytes,20,5200 bytes,355.100679000,1.0391
