addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:59465,120.241.129.154:25787,15922,2709 kB,21362,2471 kB,37284,5180 kB,51.480591000,913.4755
10.161.151.11:42734,36.151.54.30:80,779,82 kB,720,97 kB,1499,180 kB,52.176554000,920.4315
10.161.151.11:47251,183.194.237.51:5010,183,12 kB,188,52 kB,371,64 kB,51.880718000,921.7277
10.161.151.11:51638,183.194.189.203:17005,133,8512 bytes,144,49 kB,277,58 kB,28.094732000,961.9080
10.161.151.11:42300,120.232.27.228:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,29.112464000,80.7979
10.161.151.11:57284,36.155.213.46:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,29.112487000,80.7959
10.161.151.11:34211,111.10.17.149:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,29.112497000,80.7979
10.161.151.11:57989,111.31.240.184:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,29.112514000,80.7979
10.161.151.11:43262,81.69.54.177:5009,10,1120 bytes,10,4020 bytes,20,5140 bytes,206.285028000,0.9810
10.161.151.11:53190,81.69.54.177:5009,10,1120 bytes,10,4030 bytes,20,5150 bytes,316.342532000,0.9785
