addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1800:a50e:4a8:fcff:fe58:2e87:31633,240a:42c0:1802:4005:a0aa:4aff:fe2f:b91:37768,1006,2037 kB,1992,1983 kB,2998,4021 kB,63.169599000,11.5310
240a:42c4:1800:a50e:4a8:fcff:fe58:2e87:49465,2409:8c4c:e00:452:17:::8080,522,303 kB,570,153 kB,1092,456 kB,26.247110000,48.4215
10.36.255.196:38997,116.31.67.152:16285,0,0 bytes,40,5880 bytes,40,5880 bytes,66.008430000,6.8300
10.36.255.196:19283,43.239.172.2:53,2,174 bytes,2,174 bytes,4,348 bytes,6.582287000,0.0582
10.36.255.196:49203,43.239.172.2:53,2,324 bytes,2,158 bytes,4,482 bytes,9.675981000,0.0495
10.36.255.196:25158,43.239.172.2:53,2,276 bytes,2,158 bytes,4,434 bytes,9.679494000,0.0535
10.36.255.196:55095,43.239.172.2:53,2,172 bytes,2,172 bytes,4,344 bytes,9.734770000,0.0408
10.36.255.196:17956,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,11.347908000,0.0579
10.36.255.196:37650,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,12.364932000,0.0538
10.36.255.196:41162,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,13.416413000,0.0492
