addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.4.218.4:54996,183.215.49.148:443,236553,197 MB,92555,15 MB,329108,213 MB,191.150793000,2147.2690
10.4.218.4:58284,39.156.140.86:8000,1110,115 kB,2178,274 kB,3288,390 kB,190.283703000,2175.3453
10.4.218.4:42688,120.53.74.170:443,290,103 kB,268,46 kB,558,150 kB,182.474057000,860.3404
10.4.218.4:37267,120.53.74.170:443,255,43 kB,257,34 kB,512,77 kB,1039.930866000,1297.9913
10.4.218.4:40330,111.22.250.15:443,160,47 kB,220,79 kB,380,126 kB,112.196163000,74.2110
10.4.218.4:40263,106.55.117.115:443,177,183 kB,116,63 kB,293,246 kB,183.765057000,4.6769
10.4.218.4:52398,81.69.145.161:443,151,70 kB,114,24 kB,265,94 kB,9.469489000,225.5793
10.4.218.4:42859,175.178.32.21:443,147,145 kB,107,59 kB,254,204 kB,9.903010000,3.9369
10.4.218.4:51260,39.156.140.86:8000,158,21 kB,90,24 kB,248,45 kB,111.295242000,95.5133
10.4.218.4:49909,124.223.125.67:443,65,115 kB,68,13 kB,133,128 kB,183.781512000,2.5469
