addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.78.12.4:57423,111.22.250.35:443,173756,65 MB,71807,11 MB,245563,77 MB,54.566163000,1449.2811
10.78.12.4:51434,117.185.255.89:8000,802,84 kB,1463,162 kB,2265,247 kB,54.440067000,1456.1715
10.78.12.4:53983,101.35.76.132:443,391,108 kB,371,58 kB,762,167 kB,45.567241000,1489.5232
10.78.12.4:57486,42.194.252.235:443,84,84 kB,95,56 kB,179,141 kB,45.867843000,0.7502
10.78.12.4:44858,42.194.252.235:443,51,70 kB,54,26 kB,105,97 kB,55.002006000,0.4325
10.78.12.4:45208,36.158.247.12:8004,50,39 kB,50,39 kB,100,79 kB,1494.177762000,5.2237
10.78.12.4:41749,111.42.196.35:443,50,39 kB,50,39 kB,100,79 kB,1500.436248000,5.2277
10.78.12.4:45348,111.42.180.72:443,50,39 kB,50,39 kB,100,79 kB,1506.706547000,5.2740
10.78.12.4:34750,124.223.125.213:443,42,57 kB,46,18 kB,88,75 kB,46.655574000,98.6327
10.78.12.4:49837,124.223.125.213:443,37,56 kB,46,18 kB,83,75 kB,46.762166000,98.5671
