addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:47142,36.155.199.152:20690,13582,2324 kB,16948,1988 kB,30530,4312 kB,56.393441000,770.6277
10.161.151.11:53035,221.178.59.84:80,600,63 kB,611,83 kB,1211,146 kB,57.255065000,777.0750
10.161.151.11:51818,183.194.190.204:5010,160,10 kB,160,44 kB,320,54 kB,56.955122000,778.8149
10.161.151.11:41979,221.181.81.139:17005,83,5312 bytes,83,29 kB,166,34 kB,27.070917000,815.3289
10.161.151.11:52278,111.31.240.184:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,28.042555000,80.8885
10.161.151.11:38052,36.155.163.65:5010,48,3648 bytes,50,3800 bytes,98,7448 bytes,28.042315000,80.8848
10.161.151.11:60594,120.232.27.228:5010,48,3676 bytes,50,3800 bytes,98,7476 bytes,28.042526000,80.8865
10.161.151.11:33997,111.10.17.149:5010,48,3676 bytes,50,3800 bytes,98,7476 bytes,28.042542000,80.8845
10.161.151.11:39522,183.194.237.51:5009,9,1712 bytes,20,2240 bytes,29,3952 bytes,62.664044000,1.0946
10.161.151.11:50549,183.194.237.51:5009,10,1120 bytes,10,4030 bytes,20,5150 bytes,497.359135000,1.0098
