addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:43723,221.178.66.15:14528,9411,1709 kB,13381,1560 kB,22792,3270 kB,115.799252000,535.3266
10.161.151.11:42158,39.175.114.212:80,425,44 kB,432,58 kB,857,103 kB,116.522560000,541.8661
10.161.151.11:58477,183.194.237.51:5010,113,7466 bytes,113,31 kB,226,38 kB,116.243056000,543.6815
10.161.151.11:36813,36.155.213.46:5010,70,5320 bytes,70,5320 bytes,140,10 kB,29.821874000,631.4841
10.161.151.11:39157,120.232.24.98:5010,70,5320 bytes,70,5320 bytes,140,10 kB,29.821903000,631.5021
10.161.151.11:59000,111.10.17.149:5010,70,5320 bytes,70,5320 bytes,140,10 kB,29.821919000,631.4970
10.161.151.11:55705,111.31.240.184:5010,70,5320 bytes,70,5320 bytes,140,10 kB,29.821932000,631.5020
10.161.151.11:60085,183.194.189.203:17005,60,3840 bytes,60,21 kB,120,25 kB,28.882958000,642.9221
10.161.151.11:34660,183.194.237.51:5009,10,1120 bytes,10,4020 bytes,20,5140 bytes,253.226326000,0.9794
10.161.151.11:55363,183.194.237.51:5009,10,1120 bytes,10,4030 bytes,20,5150 bytes,423.658405000,0.9770
