addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.21.139.155:50654,111.33.125.42:18147,10087,1889 kB,12884,1508 kB,22971,3397 kB,85.007029000,656.8054
10.21.139.155:58898,36.151.54.97:8080,512,56 kB,529,74 kB,1041,130 kB,85.915940000,663.6839
10.21.139.155:50146,183.194.190.204:5010,127,8390 bytes,137,39 kB,264,47 kB,85.644921000,664.9899
10.21.139.155:34069,120.232.27.228:5010,69,5272 bytes,70,5320 bytes,139,10 kB,43.348682000,708.8408
10.21.139.155:45426,221.178.13.60:5010,68,5224 bytes,70,5320 bytes,138,10 kB,43.348700000,708.8668
10.21.139.155:59073,36.155.163.65:5010,67,5176 bytes,70,5320 bytes,137,10 kB,43.348640000,708.8687
10.21.139.155:42383,183.194.189.203:17005,68,4352 bytes,68,24 kB,136,28 kB,42.212137000,743.9255
10.21.139.155:39857,111.31.240.184:5010,66,5128 bytes,70,5320 bytes,136,10 kB,43.348715000,708.8727
10.21.139.155:57679,183.194.237.51:5009,16,2688 bytes,30,3360 bytes,46,6048 bytes,91.620973000,2.2053
10.21.139.155:40951,183.194.237.51:5009,10,1120 bytes,10,4060 bytes,20,5180 bytes,298.699809000,1.0063
