addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.139.14.220:41401,36.155.199.150:14574,15292,2671 kB,17494,2051 kB,32786,4722 kB,7339.488540000,857.7849
10.139.14.220:47728,120.221.188.49:16285,695,73 kB,678,92 kB,1373,166 kB,7340.274609000,861.7232
10.139.14.220:47196,183.194.237.51:5010,172,11 kB,176,49 kB,348,60 kB,7339.994903000,863.0178
10.139.14.220:43773,183.194.189.203:17005,94,6016 bytes,94,33 kB,188,39 kB,7279.413595000,942.7444
10.139.14.220:45863,183.194.237.51:5009,9,1712 bytes,20,2240 bytes,29,3952 bytes,7350.567824000,1.1178
10.139.14.220:42786,183.194.237.51:5009,10,1120 bytes,10,4030 bytes,20,5150 bytes,7466.508295000,0.9653
10.139.14.220:44526,183.194.237.51:5009,10,1120 bytes,10,4040 bytes,20,5160 bytes,7535.368194000,0.9634
10.139.14.220:41868,183.194.237.51:5009,10,1120 bytes,10,4040 bytes,20,5160 bytes,7595.114537000,0.9641
10.139.14.220:51099,183.194.237.51:5009,10,1120 bytes,10,4040 bytes,20,5160 bytes,7673.053394000,0.9842
10.139.14.220:49579,183.194.237.51:5009,10,1120 bytes,10,4040 bytes,20,5160 bytes,7791.950595000,1.0123
