addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.24.143.250:36587,111.22.250.108:443,480392,221 MB,155329,24 MB,635721,245 MB,36.867394000,3970.2619
10.24.143.250:38282,117.185.255.124:8000,2110,217 kB,3981,398 kB,6091,616 kB,37.168841000,3984.1561
10.24.143.250:58921,101.35.76.132:443,834,183 kB,817,119 kB,1651,302 kB,5.429714000,4069.6638
10.24.143.250:55740,106.55.117.183:443,102,99 kB,96,58 kB,198,157 kB,5.741251000,0.8178
10.24.143.250:39376,124.223.125.213:443,46,85 kB,55,19 kB,101,104 kB,6.861326000,120.8088
10.24.143.250:43366,36.155.197.115:8001,50,39 kB,50,39 kB,100,79 kB,4002.781631000,6.1250
10.24.143.250:51410,36.156.174.130:443,50,39 kB,50,39 kB,100,79 kB,4009.970221000,5.2203
10.24.143.250:39068,124.223.125.213:443,41,84 kB,57,19 kB,98,104 kB,6.872913000,120.8053
10.24.143.250:43531,111.62.154.72:8007,47,39 kB,50,39 kB,97,79 kB,3996.458829000,5.2525
10.24.143.250:45963,106.55.117.183:443,36,70 kB,53,25 kB,89,95 kB,37.346998000,0.5229
