addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.78.12.4:35098,111.33.110.28:21858,27115,4959 kB,39066,4644 kB,66181,9604 kB,55.254178000,1511.6140
10.78.12.4:52618,36.156.174.183:8080,1305,144 kB,1183,166 kB,2488,311 kB,55.668044000,1520.6675
10.78.12.4:51586,183.194.190.204:5010,308,20 kB,308,87 kB,616,107 kB,55.402197000,1520.9404
10.78.12.4:36391,111.33.125.56:21858,290,32 kB,291,38 kB,581,71 kB,60.263805000,670.8040
10.78.12.4:46282,183.194.189.203:17005,173,11 kB,173,59 kB,346,70 kB,38.286716000,1559.9554
10.78.12.4:58190,36.155.213.46:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,39.171933000,140.6728
10.78.12.4:57814,120.232.27.228:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,39.171965000,140.6755
10.78.12.4:36123,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,39.171978000,140.6708
10.78.12.4:37462,111.31.240.184:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,39.171991000,140.6755
10.78.12.4:42833,183.194.237.51:5009,11,2448 bytes,30,3360 bytes,41,5808 bytes,62.774654000,2.6499
