addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:8949:3715:8e23:d8c4:dfff:fe9e:d18f:59511,2409:8c50:a00:404a::24:8000,37189,45 MB,97388,53 MB,134577,98 MB,5037.829993000,1215.8644
2409:894d:c50:4e12:cc58:4dff:fe78:646f:39880,2409:894d:c98:4c27:1873:91df:af8c:b804:37378,12989,16 MB,38689,19 MB,51678,35 MB,4424.599899000,1829.0006
2409:894d:c50:4e12:cc58:4dff:fe78:646f:47274,2409:8c50:a00:4052::19:8080,4896,3456 kB,18905,5011 kB,23801,8467 kB,4410.768195000,621.9711
2409:894d:c50:4e12:cc58:4dff:fe78:646f:41184,2409:8c50:a00:404a::24:8000,1766,1660 kB,4238,1109 kB,6004,2769 kB,4887.257663000,146.8761
2409:894d:c50:4e12:cc58:4dff:fe78:646f:39038,2409:8c20:815:707::25:8000,32,5183 bytes,144,47 kB,176,53 kB,299.110217000,56.3951
10.1.32.129:33417,60.29.240.224:8000,0,0 bytes,20,2938 bytes,20,2938 bytes,4430.302433000,6.8230
10.1.32.129:44063,111.33.138.225:8080,0,0 bytes,19,2791 bytes,19,2791 bytes,4430.272798000,6.6218
10.1.32.129:42606,42.81.196.220:8000,0,0 bytes,19,2791 bytes,19,2791 bytes,4430.281226000,6.6221
10.1.32.129:53158,116.130.226.168:8000,8,1184 bytes,8,1112 bytes,16,2296 bytes,4428.171232000,1.9115
10.1.32.129:38511,111.33.138.225:8080,7,1036 bytes,7,973 bytes,14,2009 bytes,4426.588054000,2.3211
