addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.159.62.41:43445,36.155.220.17:14389,14519,2912 kB,23271,2735 kB,37790,5647 kB,80.755825000,863.4731
10.159.62.41:43964,183.255.204.79:8080,759,84 kB,685,96 kB,1444,180 kB,81.341419000,874.4874
10.159.62.41:34921,36.155.209.52:14389,334,38 kB,363,48 kB,697,86 kB,85.763812000,856.0850
10.159.62.41:46166,183.194.190.204:5010,178,11 kB,179,49 kB,357,61 kB,81.135675000,875.5082
10.159.62.41:37147,120.232.27.228:5010,62,4936 bytes,70,5320 bytes,132,10 kB,37.002872000,200.2604
10.159.62.41:55447,111.10.17.149:5010,62,4936 bytes,70,5320 bytes,132,10 kB,37.002892000,200.2604
10.159.62.41:39693,36.155.163.65:5010,61,4888 bytes,70,5320 bytes,131,10 kB,37.002576000,200.2607
10.159.62.41:33532,111.31.240.184:5010,61,4888 bytes,70,5320 bytes,131,10 kB,37.002906000,200.2603
10.159.62.41:42107,183.194.189.203:17005,63,4064 bytes,65,23 kB,128,27 kB,34.005777000,1057.5385
10.159.62.41:35069,36.155.163.65:5010,20,1520 bytes,30,2280 bytes,50,3800 bytes,956.292209000,122.6892
