addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.36.199.110:38149,36.155.209.51:14560,17323,3253 kB,24174,2856 kB,41497,6110 kB,69.491104000,1061.8560
10.36.199.110:44646,120.222.225.139:80,894,102 kB,820,114 kB,1714,217 kB,69.945677000,1061.4013
10.36.199.110:55409,183.194.237.51:5010,201,13 kB,213,60 kB,414,74 kB,69.720316000,1061.6260
10.36.199.110:43227,36.155.209.52:14560,195,21 kB,198,26 kB,393,47 kB,74.493946000,440.5675
10.36.199.110:48884,221.181.81.139:17005,105,6720 bytes,117,39 kB,222,46 kB,43.609415000,1304.7323
10.36.199.110:31682,36.150.225.254:40851,101,8585 bytes,106,8268 bytes,207,16 kB,49.448202000,1081.8965
10.36.199.110:46518,36.155.213.46:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,44.543834000,140.0269
10.36.199.110:41477,120.232.27.228:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,44.543865000,140.0286
10.36.199.110:45701,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,44.543885000,140.0211
10.36.199.110:33779,111.31.240.184:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,44.543901000,140.0300
