addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.32.153.75:37219,36.155.220.18:11676,21243,3792 kB,24524,2826 kB,45767,6619 kB,174.357254000,1086.6864
10.32.153.75:56550,111.51.150.192:16285,4459,952 kB,860,121 kB,5319,1074 kB,174.894420000,1097.1393
10.32.153.75:50215,183.194.190.204:5010,220,14 kB,223,62 kB,443,77 kB,174.710167000,1096.2131
10.32.153.75:57132,221.181.81.139:17005,124,7936 bytes,139,47 kB,263,55 kB,34.350287000,1360.2595
10.32.153.75:45864,36.155.163.65:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,35.160452000,142.1765
10.32.153.75:39108,120.232.24.98:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,35.160473000,142.1815
10.32.153.75:52213,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,35.160486000,142.1745
10.32.153.75:47401,111.31.240.184:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,35.160498000,142.1823
10.32.153.75:38622,36.155.209.52:11676,60,6307 bytes,59,7397 bytes,119,13 kB,179.359692000,90.1819
10.32.153.75:48696,36.155.163.65:5010,30,2280 bytes,30,2280 bytes,60,4560 bytes,1270.457008000,106.2775
