addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.36.140.211:52385,120.221.179.107:8000,261948,99 MB,416402,259 MB,678350,359 MB,238.218107000,2683.1314
10.36.140.211:52748,117.185.255.124:8000,1381,141 kB,2687,272 kB,4068,414 kB,238.455516000,2704.1288
10.36.140.211:55009,81.69.216.91:443,408,117 kB,397,64 kB,805,181 kB,225.457995000,1549.6926
10.36.140.211:48164,81.69.216.91:443,244,39 kB,241,33 kB,485,72 kB,1771.252253000,1278.9828
10.36.140.211:54356,183.214.54.179:443,50,39 kB,50,39 kB,100,79 kB,2918.677728000,5.3500
10.36.140.211:47891,120.223.250.182:8000,49,39 kB,50,39 kB,99,79 kB,2924.962814000,5.2982
10.36.140.211:55962,36.158.247.102:8007,46,38 kB,50,39 kB,96,78 kB,2912.368267000,5.3287
10.36.140.211:43522,124.223.125.67:443,16,32 kB,21,6266 bytes,37,38 kB,239.956865000,90.2122
10.36.140.211:55897,124.223.125.67:443,13,26 kB,22,6567 bytes,35,33 kB,240.004245000,90.2358
10.36.140.211:54743,52.231.114.183:123,10,960 bytes,10,960 bytes,20,1920 bytes,2685.645694000,4.7022
