addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:894d:d18:1665:38e3:91ff:fe94:9f44:41000,2001:250:4000:8215:30fa:b6ff:fed6:509e:31693,12917,33 MB,204136,227 MB,217053,261 MB,0.000000000,1883.8426
2409:894d:d18:1665:38e3:91ff:fe94:9f44:35079,2409:8c54:1841:2041::1e:8080,39776,57 MB,121790,116 MB,161566,174 MB,0.005157000,1883.8128
2409:894d:d18:1665:38e3:91ff:fe94:9f44:45351,2409:804c:0:2000::1:53,2,222 bytes,2,222 bytes,4,444 bytes,15.765884000,10.4285
2409:894d:d18:1665:38e3:91ff:fe94:9f44:13348,2409:804c:0:2000::1:53,2,223 bytes,2,223 bytes,4,446 bytes,76.108642000,192.0243
2409:894d:d18:1665:38e3:91ff:fe94:9f44:25223,2409:804c:0:2000::1:53,2,223 bytes,2,223 bytes,4,446 bytes,111.305870000,141.2221
2409:894d:d18:1665:38e3:91ff:fe94:9f44:34093,2409:804c:0:2000::1:53,2,224 bytes,2,224 bytes,4,448 bytes,148.705872000,33.2227
2409:894d:d18:1665:38e3:91ff:fe94:9f44:50540,2409:804c:0:2000::1:53,2,843 bytes,2,227 bytes,4,1070 bytes,194.294625000,599.9835
2409:894d:d18:1665:38e3:91ff:fe94:9f44:48760,2409:804c:0:2000::1:53,2,223 bytes,2,223 bytes,4,446 bytes,215.150079000,119.4489
2409:894d:d18:1665:38e3:91ff:fe94:9f44:11818,2409:804c:0:2000::1:53,2,381 bytes,2,234 bytes,4,615 bytes,261.885996000,232.5481
2409:894d:d18:1665:38e3:91ff:fe94:9f44:33729,2409:804c:0:2000::1:53,2,223 bytes,2,223 bytes,4,446 bytes,309.670079000,1350.1122
