addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:33923,2409:894d:cdb:6e30:1871:99ac:be07:707c:31446,137105,64 MB,376187,315 MB,513292,379 MB,0.000025000,1899.6816
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:43038,2409:8c54:1841:2040::1a:16285,97435,18 MB,136697,31 MB,234132,50 MB,0.000000000,1899.6345
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:59997,2409:8a5e:590b:20::11:16285,30,8040 bytes,30,8040 bytes,60,16 kB,1900.292582000,0.9661
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:45012,2409:8c3c:904:21::4a:16285,30,8040 bytes,30,8040 bytes,60,16 kB,1901.230984000,0.9550
10.36.199.110:8052,43.239.172.1:53,2,337 bytes,2,177 bytes,4,514 bytes,6.358374000,59.8290
10.36.199.110:5564,43.239.172.1:53,2,182 bytes,2,182 bytes,4,364 bytes,96.435657000,349.0028
10.36.199.110:29279,43.239.172.1:53,2,182 bytes,2,182 bytes,4,364 bytes,105.795375000,1080.3938
10.36.199.110:14423,43.239.172.1:53,2,182 bytes,2,182 bytes,4,364 bytes,116.252697000,429.4971
10.36.199.110:12696,43.239.172.1:53,2,182 bytes,2,182 bytes,4,364 bytes,154.545178000,535.3711
10.36.199.110:62166,43.239.172.1:53,2,179 bytes,2,179 bytes,4,358 bytes,168.496021000,1224.5832
