addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.139.14.220:33360,36.155.223.162:11221,13416,2604 kB,13767,1602 kB,27183,4206 kB,1347.814540000,768.0608
10.139.14.220:35734,111.51.150.126:8080,670,72 kB,613,84 kB,1283,156 kB,1348.419502000,776.1982
10.139.14.220:51963,183.194.237.51:5010,156,10 kB,158,44 kB,314,54 kB,1348.219922000,776.4622
10.139.14.220:43773,221.181.81.139:17005,85,5440 bytes,87,31 kB,172,36 kB,1348.014722000,798.6440
10.139.14.220:39105,42.194.252.235:443,53,57 kB,53,26 kB,106,83 kB,94.935575000,0.5592
10.139.14.220:53228,36.155.163.65:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,1306.644232000,80.8169
10.139.14.220:33305,120.232.27.228:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,1306.644258000,80.8959
10.139.14.220:37062,111.10.17.149:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,1306.644272000,80.8768
10.139.14.220:56604,111.31.240.184:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,1306.644285000,80.8626
10.139.14.220:51231,36.155.240.148:443,28,7326 bytes,63,82 kB,91,89 kB,82.632214000,0.3445
