addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.139.14.220:35003,120.221.179.98:8000,281304,157 MB,390669,209 MB,671973,366 MB,263.990417000,2684.1736
10.139.14.220:36109,117.185.255.89:8000,1397,144 kB,2688,272 kB,4085,416 kB,264.207480000,2703.0640
10.139.14.220:55531,81.69.216.91:443,601,141 kB,582,87 kB,1183,229 kB,251.252561000,2794.6176
10.139.14.220:52945,42.194.252.235:443,63,71 kB,54,26 kB,117,98 kB,264.506586000,0.6360
10.139.14.220:56261,42.194.252.235:443,51,54 kB,49,24 kB,100,78 kB,251.502858000,0.4481
10.139.14.220:52554,36.155.197.165:8004,50,39 kB,50,39 kB,100,79 kB,2943.955965000,6.2570
10.139.14.220:44954,111.42.196.187:443,50,39 kB,50,39 kB,100,79 kB,2951.237771000,5.2411
10.139.14.220:50281,120.221.179.82:8000,45,39 kB,50,39 kB,95,79 kB,2937.645680000,5.2626
fe80::2526:d5a8:57e5:866c:9099,fe80::6c67:7aff:fe02:e761:40190,0,0 bytes,78,5850 bytes,78,5850 bytes,1748.010770000,39.4498
10.139.14.220:47451,42.194.252.235:443,20,8454 bytes,17,12 kB,37,20 kB,2937.259445000,0.6058
