addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:51297,120.232.22.159:54792,13025,2543 kB,19420,2290 kB,32445,4833 kB,59.706980000,759.3035
10.161.151.11:51596,183.255.34.152:8080,658,70 kB,604,82 kB,1262,152 kB,60.316412000,765.4023
10.161.151.11:45959,183.194.190.204:5010,151,9974 bytes,157,43 kB,308,53 kB,60.079269000,766.5044
10.161.151.11:43823,221.181.81.139:17005,74,4736 bytes,81,28 kB,155,33 kB,35.147652000,856.5006
10.161.151.11:55964,36.155.163.65:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,36.285634000,79.9791
10.161.151.11:54057,120.232.27.228:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,36.285654000,79.9836
10.161.151.11:46777,111.10.17.149:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,36.285664000,79.9783
10.161.151.11:40981,111.30.183.207:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,36.285673000,79.9818
10.161.151.11:47668,36.155.163.65:5010,20,1520 bytes,20,1520 bytes,40,3040 bytes,826.142922000,56.2162
10.161.151.11:35369,120.232.27.228:5010,20,1520 bytes,20,1520 bytes,40,3040 bytes,826.142975000,56.2214
