addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.0.222.231:52177,183.215.49.192:443,171857,58 MB,75000,12 MB,246857,71 MB,18.286815000,1653.3212
10.0.222.231:59456,117.185.255.124:8000,914,96 kB,1682,193 kB,2596,289 kB,17.735617000,1664.0576
10.0.222.231:55054,101.35.76.132:443,430,123 kB,410,64 kB,840,187 kB,12.875603000,1695.2836
10.0.222.231:37215,36.158.247.110:8002,50,39 kB,50,39 kB,100,79 kB,1662.037597000,5.2256
10.0.222.231:59009,183.215.54.121:443,50,39 kB,50,39 kB,100,79 kB,1668.307328000,5.2180
10.0.222.231:41340,120.223.250.182:8000,50,39 kB,50,39 kB,100,79 kB,1674.571545000,5.1794
10.0.222.231:44079,124.223.125.67:443,31,59 kB,37,8146 bytes,68,67 kB,13.347884000,0.6388
10.0.222.231:48584,124.223.125.67:443,14,57 kB,34,5407 bytes,48,62 kB,16.500782000,0.3760
10.0.222.231:43207,36.158.243.191:443,11,5128 bytes,16,18 kB,27,23 kB,1662.930987000,0.2603
10.0.222.231:58149,36.158.243.191:443,10,5050 bytes,15,16 kB,25,21 kB,18.618823000,0.1769
