addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:893d:5142:530a:88e2:41ff:feb2:bb32:35183,2409:894d:cdd:2a51:1874:52e:ffbd:8cbe:32266,53975,67 MB,308262,304 MB,362237,372 MB,126621.517114000,2149.9996
2409:893d:5142:530a:88e2:41ff:feb2:bb32:57907,2409:8c50:a00:2054:31:::8000,10535,1953 kB,64860,15 MB,75395,17 MB,126605.739774000,2165.7819
10.27.129.202:57578,81.69.145.161:443,11,1730 bytes,11,1174 bytes,22,2904 bytes,10.609744000,69.3419
10.74.135.199:45712,42.81.196.31:8080,0,0 bytes,20,2937 bytes,20,2937 bytes,126624.397220000,6.8244
10.27.129.202:54896,36.155.240.148:443,7,4756 bytes,5,2504 bytes,12,7260 bytes,20.147101000,0.1883
10.74.135.199:45045,211.137.191.27:53,3,274 bytes,3,274 bytes,6,548 bytes,126719.907331000,1933.0497
10.74.135.199:16834,211.137.191.27:53,2,354 bytes,2,172 bytes,4,526 bytes,126572.387154000,1246.1241
10.74.135.199:58054,211.137.191.27:53,2,182 bytes,2,182 bytes,4,364 bytes,126577.911160000,2092.7122
10.74.135.199:27826,211.137.191.27:53,2,182 bytes,2,182 bytes,4,364 bytes,126581.006283000,500.7048
10.74.135.199:38486,211.137.191.27:53,2,183 bytes,2,183 bytes,4,366 bytes,126620.446659000,1043.1677
