addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:35717,240a:42c4:1801:d2f6:24f1:e2ff:fe9b:8e50:37130,91272,77 MB,160249,92 MB,251521,170 MB,344.661177000,1991.9339
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:38905,2409:8c44:b00:30::21:16285,51608,19 MB,78551,20 MB,130159,40 MB,322.794714000,1266.0685
240a:42bc:201:1b66:40db:1ff:fe55:4e8c:48239,2409:8c44:b00:31::1c:8080,28506,32 MB,43136,19 MB,71642,52 MB,1956.865886000,379.7725
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:45118,2409:8c44:b00:31::1c:8080,16281,10 MB,14593,3177 kB,30874,13 MB,1588.839127000,365.0135
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:35007,2409:8c44:b00:30::21:16285,10931,2434 kB,645,135 kB,11576,2570 kB,1578.649744000,373.8122
240a:42bc:201:1b66:40db:1ff:fe55:4e8c:53672,2409:8c20:815:706::21:16285,22,7496 bytes,30,8040 bytes,52,15 kB,2337.888836000,1.0091
240a:42bc:201:1b66:40db:1ff:fe55:4e8c:59196,2409:8a5e:590b:20::16:16285,21,7428 bytes,30,8040 bytes,51,15 kB,2336.951410000,0.9890
10.2.120.84:34132,42.81.196.43:8080,0,0 bytes,20,2940 bytes,20,2940 bytes,346.966897000,6.8269
10.2.120.84:56834,43.239.172.1:53,2,182 bytes,2,182 bytes,4,364 bytes,359.315783000,832.6373
10.2.120.84:47622,43.239.172.1:53,2,202 bytes,2,174 bytes,4,376 bytes,400.038101000,1364.8403
