addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.24.143.250:57653,36.155.220.18:11425,19216,3714 kB,25449,3062 kB,44665,6777 kB,83.517178000,1145.4004
10.24.143.250:49882,120.222.225.148:16285,1053,125 kB,900,126 kB,1953,252 kB,83.893736000,1153.5168
10.24.143.250:35601,36.155.220.17:11425,515,65 kB,477,64 kB,992,130 kB,88.526184000,1136.3353
10.24.143.250:36774,183.194.237.51:5010,234,15 kB,235,66 kB,469,82 kB,83.654140000,1154.9667
10.24.143.250:35596,221.181.81.139:17005,116,7424 bytes,116,40 kB,232,47 kB,54.133146000,1278.0618
10.24.143.250:55394,36.155.213.46:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,55.175047000,140.0677
10.24.143.250:45813,120.232.27.228:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,55.175067000,140.0709
10.24.143.250:49861,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,55.175081000,140.0728
10.24.143.250:54481,111.30.183.207:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,55.175094000,140.0833
10.24.143.250:43060,36.155.213.46:5010,20,1520 bytes,20,1520 bytes,40,3040 bytes,1238.265995000,62.6856
