addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:894d:d14:10a0:2427:96ff:fe3a:13a9:37384,2409:894d:cc2:2b5d:1870:6f0:1f43:cf80:33344,83726,47 MB,366949,320 MB,450675,367 MB,0.000000000,2002.3828
10.24.143.250:55676,112.46.31.41:8000,28834,4467 kB,79877,13 MB,108711,17 MB,512.174534000,1490.2033
2409:894d:d14:10a0:2427:96ff:fe3a:13a9:56903,2409:8c70:3a91:74::13:8080,38595,6525 kB,35724,9286 kB,74319,15 MB,0.014751000,2002.3158
10.24.143.250:53945,112.46.31.136:8080,2055,675 kB,8354,2195 kB,10409,2870 kB,446.168969000,72.0761
10.24.143.250:55676,112.46.31.59:8080,8,1376 bytes,8,1344 bytes,16,2720 bytes,512.375798000,5.7871
10.24.143.250:55676,112.46.31.83:16285,7,1260 bytes,7,1176 bytes,14,2436 bytes,512.576503000,5.4814
10.24.143.250:53945,112.46.31.150:16285,4,720 bytes,4,672 bytes,8,1392 bytes,446.371562000,3.7783
10.24.143.250:53945,112.46.31.184:8000,4,688 bytes,4,672 bytes,8,1360 bytes,446.570995000,3.5868
10.24.143.250:47963,111.48.8.188:53,3,275 bytes,3,275 bytes,6,550 bytes,856.908471000,1084.2523
10.24.143.250:32595,111.48.10.188:53,2,184 bytes,2,184 bytes,4,368 bytes,259.268017000,19.7413
