addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.138.192.147:54884,111.22.250.58:443,282124,118 MB,61638,10 MB,343762,128 MB,176.299653000,2050.8973
10.138.192.147:44444,117.185.255.124:8000,1083,111 kB,2054,210 kB,3137,322 kB,176.507880000,2063.7264
10.138.192.147:51406,81.69.145.161:443,606,181 kB,569,84 kB,1175,265 kB,23.285660000,2284.6435
10.138.192.147:33943,183.215.49.92:443,167,50 kB,211,80 kB,378,130 kB,61.498660000,86.9798
10.138.192.147:41052,117.185.255.89:8000,106,14 kB,104,30 kB,210,45 kB,61.154177000,96.0614
10.138.192.147:48377,42.194.252.235:443,104,93 kB,87,55 kB,191,148 kB,23.688971000,1.2033
10.138.192.147:54051,42.194.252.235:443,72,73 kB,64,31 kB,136,105 kB,62.071065000,0.9326
10.138.192.147:41681,124.223.125.213:443,53,41 kB,68,28 kB,121,69 kB,62.203436000,127.3413
10.138.192.147:38802,42.194.252.235:443,53,68 kB,51,24 kB,104,92 kB,176.724840000,0.4107
10.138.192.147:34211,112.46.31.152:443,50,39 kB,50,39 kB,100,79 kB,138.780100000,5.2656
