addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.78.12.4:58937,221.178.66.26:21657,16541,3209 kB,25183,2965 kB,41724,6174 kB,48.754466000,942.4764
10.78.12.4:39223,120.222.225.148:8080,792,86 kB,747,104 kB,1539,191 kB,49.242661000,953.8146
10.78.12.4:58716,183.194.190.204:5010,195,12 kB,195,55 kB,390,68 kB,48.919553000,955.0880
10.78.12.4:38932,221.181.81.139:17005,114,7296 bytes,114,39 kB,228,47 kB,31.455016000,1006.8911
10.78.12.4:41640,221.178.70.43:21657,85,9119 bytes,85,10 kB,170,20 kB,53.764366000,155.2552
10.78.12.4:60948,36.155.213.46:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,32.393495000,140.7184
10.78.12.4:51729,120.232.27.228:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,32.393518000,140.7239
10.78.12.4:34676,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,32.393533000,140.7183
10.78.12.4:50220,111.30.183.207:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,32.393545000,140.7212
10.78.12.4:44358,221.178.70.43:21657,36,8458 bytes,2,272 bytes,38,8730 bytes,229.313703000,2.5757
