addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.32.29.99:50797,36.155.209.51:14508,20195,3858 kB,31297,3714 kB,51492,7573 kB,68.186229000,1201.1934
10.32.29.99:34066,111.51.150.161:80,1051,114 kB,946,132 kB,1997,247 kB,68.667829000,1227.5167
10.32.29.99:55490,36.155.209.51:14508,498,55 kB,499,67 kB,997,122 kB,73.194112000,1191.4059
10.32.29.99:45246,183.194.237.51:5010,247,16 kB,247,70 kB,494,86 kB,68.386302000,1213.5894
10.32.29.99:37531,221.181.81.139:17005,179,11 kB,179,61 kB,358,72 kB,44.763224000,1265.8674
10.32.29.99:35380,36.155.163.65:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,45.933564000,140.0716
10.32.29.99:50319,120.232.27.228:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,45.933588000,140.0790
10.32.29.99:58483,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,45.933602000,140.0725
10.32.29.99:58364,111.31.240.184:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,45.933615000,140.0880
10.32.29.99:55729,183.194.237.51:5009,8,1664 bytes,20,2240 bytes,28,3904 bytes,73.852980000,1.3726
