addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1801:dbff:4cc6:39ff:fe78:6036:41517,240a:42bc:401:f43:6c82:70ff:febf:9645:33629,220162,190 MB,200349,296 MB,420511,486 MB,0.002668000,2123.3891
2409:8c50:a00:404a::25:8080,240a:42bc:401:f43:6c82:70ff:febf:9645:45783,77509,23 MB,43811,11 MB,121320,35 MB,0.000615000,2123.3672
10.16.120.200:46115,120.53.74.170:443,43,18 kB,36,9547 bytes,79,28 kB,1302.975055000,174.6651
240a:42bc:401:f43:6c82:70ff:febf:9645:57389,2409:8c54:1841:1041:1e:::16285,30,8040 bytes,30,8040 bytes,60,16 kB,2123.890172000,1.0213
240a:42bc:401:f43:6c82:70ff:febf:9645:42794,2409:8c70:3a91:41::20:16285,30,8040 bytes,30,8040 bytes,60,16 kB,2124.832718000,0.9940
10.16.120.200:37969,52.231.114.183:123,9,864 bytes,10,960 bytes,19,1824 bytes,1302.463401000,4.3706
10.16.120.200:3349,43.239.172.2:53,3,273 bytes,3,273 bytes,6,546 bytes,790.093703000,601.6752
240a:42bc:401:f43:6c82:70ff:febf:9645:58403,2402:4e00:1220:1502:0:9b20:6ad5:831c:443,0,0 bytes,6,7788 bytes,6,7788 bytes,1302.550346000,4.0123
10.16.120.200:3387,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,6.395925000,1670.3129
10.16.120.200:59072,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,18.916650000,937.1096
