addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.16.120.200:47705,36.155.199.156:33538,13561,2404 kB,14472,1715 kB,28033,4120 kB,6310.546585000,646.1294
240a:42bc:401:f43:6c82:70ff:febf:9645:20758,2409:8a10:2c01:4635:5f2:f576:531b:e20a:24381,4522,41 MB,13118,1500 kB,17640,43 MB,6325.262832000,37.3024
10.16.120.200:20758,112.41.176.62:1644,4132,39 MB,11179,1054 kB,15311,40 MB,6325.307580000,108.2755
10.16.120.200:20758,112.39.20.224:22440,2968,29 MB,6812,668 kB,9780,29 MB,6325.307448000,108.4433
10.16.120.200:20758,111.49.145.252:11404,923,2513 kB,2989,280 kB,3912,2794 kB,6964.866299000,62.4109
10.16.120.200:20758,111.58.53.229:18774,511,1096 kB,2290,212 kB,2801,1308 kB,6964.866189000,61.0466
10.16.120.200:20758,39.128.64.214:14600,490,1424 kB,1748,163 kB,2238,1587 kB,6964.866264000,60.0265
10.16.120.200:20758,124.225.128.64:37159,329,585 kB,1212,116 kB,1541,702 kB,6964.866116000,62.4951
10.16.120.200:20758,39.155.10.78:5095,385,1183 kB,1153,107 kB,1538,1291 kB,6325.307506000,62.2534
10.16.120.200:20758,123.139.97.57:43137,432,2344 kB,987,95 kB,1419,2440 kB,6325.307754000,70.8620
