addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:43022,2409:8c50:a00:4043::27:8000,96533,91 MB,159385,125 MB,255918,216 MB,356.938778000,1618.1045
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:53410,2409:8c50:a00:4043::27:8000,11415,11 MB,13223,4571 kB,24638,16 MB,70.650429000,287.4422
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:36771,2409:8c50:a00:4041::28:8000,1739,1739 kB,2254,876 kB,3993,2616 kB,320.011223000,38.1246
240a:42c4:1801:d2f6:24f1:e2ff:fe9b:8e50:41261,240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:40350,130,28 kB,64,14 kB,194,42 kB,86.026935000,17.7811
240a:42c0:1000:7741:88ba:f3ff:fe92:42b0:34703,2409:8c70:3ad4:10::ab:16285,25,7700 bytes,30,8040 bytes,55,15 kB,1976.194771000,0.9993
10.2.120.84:55215,10.35.196.222:40710,0,0 bytes,53,9325 bytes,53,9325 bytes,86.032846000,28.2392
10.2.120.84:55215,223.160.117.176:46129,0,0 bytes,53,9325 bytes,53,9325 bytes,86.034104000,28.2380
10.2.120.84:55215,223.160.117.176:46130,0,0 bytes,53,9325 bytes,53,9325 bytes,86.035143000,28.2369
10.2.120.84:55215,223.160.117.176:46131,0,0 bytes,53,9325 bytes,53,9325 bytes,86.035917000,28.2362
10.2.120.84:55215,223.160.117.176:36836,0,0 bytes,53,9325 bytes,53,9325 bytes,86.040103000,28.2320
