addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.21.139.155:35439,111.31.245.66:52131,19545,3459 kB,21218,2452 kB,40763,5912 kB,123.074301000,1145.9955
10.21.139.155:49763,39.175.114.212:16285,871,94 kB,898,126 kB,1769,221 kB,123.807261000,1152.8177
10.21.139.155:53627,221.181.81.139:17005,269,17 kB,281,95 kB,550,112 kB,47.275444000,1267.0729
10.21.139.155:38646,183.194.237.51:5010,228,15 kB,235,67 kB,463,82 kB,123.286103000,1154.2854
10.21.139.155:48017,111.30.183.207:5010,55,4320 bytes,60,4560 bytes,115,8880 bytes,62.879175000,140.7940
10.21.139.155:53451,36.155.163.65:5010,54,4272 bytes,60,4560 bytes,114,8832 bytes,62.879083000,140.7838
10.21.139.155:43929,221.178.13.60:5010,54,4272 bytes,60,4560 bytes,114,8832 bytes,62.879153000,140.7767
10.21.139.155:60801,120.232.24.98:5010,52,4176 bytes,60,4560 bytes,112,8736 bytes,62.879128000,140.7567
10.21.139.155:59440,183.194.237.51:5009,10,1760 bytes,20,2240 bytes,30,4000 bytes,129.467793000,1.1524
10.21.139.155:44711,183.194.237.51:5009,10,1120 bytes,10,4060 bytes,20,5180 bytes,284.872494000,1.0053
