addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.19.11.109:49942,42.187.184.206:8001,163041,119 MB,53401,8683 kB,216442,128 MB,749.580775000,1171.3886
10.19.11.109:44965,39.156.125.75:8000,971,103 kB,1876,211 kB,2847,314 kB,90.904517000,1843.5871
10.19.11.109:39922,101.35.76.132:443,431,101 kB,434,61 kB,865,163 kB,2.674239000,1950.3051
10.19.11.109:38544,221.178.59.70:443,48,38 kB,50,39 kB,98,78 kB,1917.795046000,6.1004
10.19.11.109:45648,111.10.12.192:8001,48,38 kB,50,39 kB,98,78 kB,1925.009010000,6.3619
10.19.11.109:54274,111.62.154.58:8004,47,37 kB,50,39 kB,97,77 kB,1911.522776000,5.2740
10.19.11.109:60759,120.53.85.25:443,30,58 kB,34,4875 bytes,64,63 kB,1070.115443000,1.1991
10.19.11.109:56755,42.187.184.206:8001,10,5250 bytes,10,5250 bytes,20,10 kB,749.086214000,2.3712
10.19.11.109:51324,42.187.184.206:8000,10,5250 bytes,10,5250 bytes,20,10 kB,749.086244000,2.3933
10.19.11.109:56796,43.137.59.198:8004,9,5202 bytes,10,5250 bytes,19,10 kB,749.086319000,2.3711
