addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:894d:cca:5526:7cb4:54ff:fe7f:60ab:31439,2409:894d:cc2:2b5d:1870:6f0:1f43:cf80:32808,88321,134 MB,201533,210 MB,289854,344 MB,40.246098000,1806.0950
2409:894d:cca:5526:7cb4:54ff:fe7f:60ab:57434,2409:8c50:da00:109::21:8000,25172,4981 kB,17243,3835 kB,42415,8816 kB,32.418679000,1813.8858
10.138.192.147:23304,39.155.32.205:4611,51,4980 bytes,180,16 kB,231,21 kB,622.645834000,60.1378
10.138.192.147:20253,39.155.32.208:6928,52,4986 bytes,178,16 kB,230,21 kB,22.507280000,60.1542
10.138.192.147:20253,39.155.10.121:10119,50,4848 bytes,174,16 kB,224,20 kB,22.507327000,60.1493
10.138.192.147:23304,153.101.166.210:21936,6,616 bytes,120,10 kB,126,11 kB,622.666126000,0.6548
10.138.192.147:23304,120.213.136.237:45058,1,82 bytes,99,8902 bytes,100,8984 bytes,622.666073000,0.6050
10.138.192.147:20253,218.26.115.21:12078,37,3566 bytes,41,4167 bytes,78,7733 bytes,22.507365000,60.2362
10.138.192.147:23304,218.26.115.21:12078,23,2216 bytes,32,3231 bytes,55,5447 bytes,622.645791000,60.2139
10.138.192.147:20253,153.101.166.210:21936,9,844 bytes,28,2512 bytes,37,3356 bytes,22.583854000,0.1382
