addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1801:dbff:9891:f5ff:fec5:e773:39905,240a:42c0:1800:3775:d4a5:8aff:fed0:acf8:37647,78855,244 MB,161756,144 MB,240611,388 MB,0.000000000,1826.0741
10.38.214.217:57702,183.215.54.215:8000,13813,2251 kB,43279,9016 kB,57092,11 MB,380.873138000,1445.1835
240a:42c4:1801:dbff:9891:f5ff:fec5:e773:42595,2409:8c50:a00:2054:33:::8000,3587,841 kB,10032,2902 kB,13619,3744 kB,0.149315000,383.0520
2409:8c50:a00:2054:15:::16285,240a:42c4:1801:dbff:9891:f5ff:fec5:e773:37467,0,0 bytes,2340,438 kB,2340,438 kB,0.409435000,382.7037
240a:42c4:1801:dbff:9891:f5ff:fec5:e773:53908,2409:8c1c:300:902::21:16285,30,8040 bytes,30,8040 bytes,60,16 kB,1827.030362000,1.0132
240a:42c4:1801:dbff:9891:f5ff:fec5:e773:52996,2409:8c20:9c73:161::21:16285,28,7904 bytes,30,8040 bytes,58,15 kB,1827.997160000,0.9615
10.38.214.217:57702,183.215.54.181:8080,3,540 bytes,3,507 bytes,6,1047 bytes,381.074387000,2.0000
10.38.214.217:57702,183.215.54.94:16285,3,540 bytes,3,507 bytes,6,1047 bytes,381.277024000,1.8286
240a:42c4:1801:dbff:9891:f5ff:fec5:e773:43068,2409:8080:2000:3::2:53,2,223 bytes,2,223 bytes,4,446 bytes,28.787165000,1446.2827
240a:42c4:1801:dbff:9891:f5ff:fec5:e773:30630,2409:8080:2000:3::2:53,2,224 bytes,2,224 bytes,4,448 bytes,126.432939000,268.2922
