addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.40.56.171:36677,183.215.49.96:443,71562,42 MB,51900,7573 kB,123462,50 MB,1432.386210000,719.1350
10.40.56.171:56869,42.187.184.25:8000,69320,71 MB,31058,4841 kB,100378,76 MB,713.888478000,808.5740
10.40.56.171:55739,183.215.49.122:443,32660,35 MB,15821,2862 kB,48481,38 MB,84.047469000,388.2132
10.19.178.132:51648,116.163.21.32:443,6469,5441 kB,913,226 kB,7382,5668 kB,14.874887000,58.1668
10.40.56.171:55396,42.187.184.109:8008,2715,1817 kB,4328,873 kB,7043,2691 kB,550.159460000,115.4591
10.40.56.171:51648,116.163.21.32:443,4495,6884 kB,443,92 kB,4938,6976 kB,74.611592000,99.5582
10.40.56.171:35819,117.185.255.124:8000,801,87 kB,1459,156 kB,2260,243 kB,711.311137000,1457.4484
10.40.56.171:42349,112.65.194.14:8000,179,18 kB,328,32 kB,507,50 kB,74.723421000,380.5634
10.19.178.132:50536,81.69.216.91:443,140,66 kB,110,23 kB,250,89 kB,10.750751000,50.3580
10.40.56.171:54850,120.53.97.228:80,118,75 kB,111,26 kB,229,102 kB,543.469900000,82.9509
