addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:894d:cbc:28c8:1872:b247:6b96:3b66:31754,240a:42c0:1800:ec5c:d0e3:29ff:fe08:c2db:41672,181144,134 MB,132087,51 MB,313231,185 MB,30.140414000,1881.5674
240a:42c0:1800:ec5c:d0e3:29ff:fe08:c2db:41639,2409:8c50:da00:105::22:8000,109538,26 MB,71151,15 MB,180689,41 MB,23.782983000,1887.8805
240a:42c0:1800:ec5c:d0e3:29ff:fe08:c2db:56646,2409:8c28:90a0:221::27:16285,30,8040 bytes,30,8040 bytes,60,16 kB,1912.197245000,0.9661
240a:42c0:1800:ec5c:d0e3:29ff:fe08:c2db:46236,2409:8c70:3a91:42::20:16285,30,8040 bytes,30,8040 bytes,60,16 kB,1913.135493000,1.0074
10.7.55.37:46808,117.185.241.224:16285,0,0 bytes,20,2938 bytes,20,2938 bytes,34.444597000,6.8258
10.7.55.37:54327,117.185.247.220:8080,4,592 bytes,4,556 bytes,8,1148 bytes,33.573259000,1.5059
10.7.55.37:54327,117.185.247.220:16285,3,444 bytes,3,417 bytes,6,861 bytes,32.813340000,0.8068
240a:42c0:1800:ec5c:d0e3:29ff:fe08:c2db:63458,2409:8080:2000:3::1:53,2,390 bytes,2,241 bytes,4,631 bytes,18.021125000,325.2783
240a:42c0:1800:ec5c:d0e3:29ff:fe08:c2db:51747,2409:8080:2000:3::1:53,2,378 bytes,2,241 bytes,4,619 bytes,18.023152000,1554.3971
10.7.55.37:37444,101.227.161.106:16285,2,296 bytes,2,278 bytes,4,574 bytes,32.254356000,0.7625
