addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.7.39.178:50243,36.155.223.175:34191,15724,2924 kB,20312,2324 kB,36036,5249 kB,87.256997000,881.3403
10.7.39.178:53754,120.222.225.139:80,724,80 kB,695,96 kB,1419,177 kB,87.730186000,898.8213
10.7.39.178:37993,36.155.199.150:34191,450,68 kB,366,49 kB,816,117 kB,92.267217000,876.0321
10.7.39.178:57422,183.194.190.204:5010,176,11 kB,182,50 kB,358,62 kB,87.526651000,890.6638
10.7.39.178:55279,221.181.81.139:17005,102,6528 bytes,107,36 kB,209,43 kB,56.244475000,949.2825
10.7.39.178:57817,111.10.17.149:5010,44,3512 bytes,50,3800 bytes,94,7312 bytes,57.242666000,80.3261
10.7.39.178:34267,111.30.183.207:5010,44,3512 bytes,50,3800 bytes,94,7312 bytes,57.242679000,80.3261
10.7.39.178:48802,36.155.213.46:5010,43,3464 bytes,50,3800 bytes,93,7264 bytes,57.242619000,80.3313
10.7.39.178:55077,120.232.27.228:5010,42,3416 bytes,50,3800 bytes,92,7216 bytes,57.242651000,80.3312
10.7.39.178:42567,183.194.237.51:5009,10,1120 bytes,10,4060 bytes,20,5180 bytes,684.153007000,0.9599
