addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.36.140.211:36079,120.221.179.32:8000,244085,198 MB,390533,208 MB,634618,406 MB,0.000000000,2028.0925
10.36.140.211:60800,117.185.255.124:8000,1003,100 kB,2018,195 kB,3021,295 kB,0.413852000,2039.8948
10.36.140.211:49309,101.35.76.132:443,334,51 kB,338,48 kB,672,99 kB,2.407374000,1907.3241
10.36.140.211:51018,101.35.76.132:443,52,11 kB,49,6380 bytes,101,18 kB,1909.528116000,160.1560
10.36.140.211:56474,36.155.197.165:8008,50,39 kB,50,39 kB,100,79 kB,2018.560964000,5.2327
10.36.140.211:57464,111.51.150.176:443,50,39 kB,50,39 kB,100,79 kB,2024.836744000,5.2858
10.36.140.211:60067,183.214.54.179:443,50,39 kB,50,39 kB,100,79 kB,2031.156164000,5.2760
10.36.140.211:38618,124.223.125.67:443,11,2962 bytes,12,7705 bytes,23,10 kB,1587.391422000,90.2727
10.36.140.211:41043,124.223.125.67:443,11,2939 bytes,11,7374 bytes,22,10 kB,1586.941361000,90.2224
10.36.140.211:35940,52.231.114.183:123,7,672 bytes,10,960 bytes,17,1632 bytes,1601.564976000,4.6345
