addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.36.118.88:45753,221.178.66.31:28448,31304,6637 kB,38634,4680 kB,69938,11 MB,188.982812000,1462.5023
10.36.118.88:43747,183.255.34.152:8080,1221,138 kB,1147,160 kB,2368,298 kB,189.530454000,1470.3847
10.36.118.88:38852,183.194.189.203:17005,182,11 kB,197,67 kB,379,79 kB,39.936976000,1651.2684
10.36.118.88:35083,183.194.190.204:5010,187,12 kB,188,54 kB,375,67 kB,724.779826000,936.5219
10.36.118.88:35933,183.194.190.204:5010,86,5684 bytes,90,24 kB,176,30 kB,189.251674000,435.1661
10.36.118.88:50384,221.178.70.31:28448,76,8171 bytes,80,10 kB,156,18 kB,193.986617000,145.2605
10.36.118.88:60540,36.155.163.65:5010,63,4984 bytes,70,5320 bytes,133,10 kB,40.814989000,200.3857
10.36.118.88:56668,120.232.27.228:5010,62,4936 bytes,70,5320 bytes,132,10 kB,40.815002000,200.4047
10.36.118.88:33885,111.30.183.207:5010,62,4936 bytes,70,5320 bytes,132,10 kB,40.815015000,200.4031
10.36.118.88:44188,111.10.17.149:5010,61,4888 bytes,70,5320 bytes,131,10 kB,40.814973000,200.3869
