addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:41521,2409:894d:cdb:6e30:1871:99ac:be07:707c:31989,74929,47 MB,184927,140 MB,259856,188 MB,57.257315000,1844.2995
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:49900,2409:8c50:a00:4046::11:16285,37140,7482 kB,65315,19 MB,102455,26 MB,34.863771000,1866.6333
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:44412,2409:8c54:1841:1041:24:::16285,26,7768 bytes,30,8040 bytes,56,15 kB,1903.006524000,0.9811
240a:42c4:1801:2ae2:2897:83ff:fe19:c0bd:59415,2409:8c02:21c:f1::38:16285,23,7564 bytes,30,8040 bytes,53,15 kB,1902.062915000,0.9734
10.36.199.110:57398,183.47.112.159:8080,0,0 bytes,20,2938 bytes,20,2938 bytes,60.145540000,6.8265
10.36.199.110:14621,120.241.70.212:40851,1,73 bytes,4,364 bytes,5,437 bytes,30.739464000,0.2886
10.36.199.110:28713,36.150.103.30:60851,1,73 bytes,4,364 bytes,5,437 bytes,30.741902000,0.2694
10.36.199.110:24180,43.239.172.2:53,2,184 bytes,2,184 bytes,4,368 bytes,15.209681000,1508.7383
10.36.199.110:40429,43.239.172.2:53,2,184 bytes,2,184 bytes,4,368 bytes,132.172268000,72.2054
10.36.199.110:38545,43.239.172.2:53,2,184 bytes,2,184 bytes,4,368 bytes,217.885320000,1325.8732
