addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.36.199.110:34666,36.155.199.152:10618,17730,3765 kB,24835,3022 kB,42565,6788 kB,72.879237000,941.3348
10.36.199.110:60019,111.51.150.161:16285,839,99 kB,735,102 kB,1574,202 kB,73.871856000,945.2693
10.36.199.110:47183,36.155.199.152:10618,512,85 kB,344,46 kB,856,131 kB,91.810391000,887.0679
10.36.199.110:34132,183.194.237.51:5010,182,12 kB,192,55 kB,374,67 kB,73.491244000,946.3360
10.36.199.110:48948,36.155.199.152:10618,157,22 kB,66,7674 bytes,223,30 kB,77.696698000,15.8192
10.36.199.110:50642,221.181.81.139:17005,106,6784 bytes,116,37 kB,222,44 kB,46.220700000,993.3107
10.36.199.110:55865,36.155.199.152:10618,82,12 kB,32,3657 bytes,114,16 kB,67.344038000,38.7517
10.36.199.110:56172,36.155.213.46:5010,30,2280 bytes,30,2280 bytes,60,4560 bytes,1019.371118000,14.0474
10.36.199.110:48945,120.232.27.228:5010,30,2280 bytes,30,2280 bytes,60,4560 bytes,1019.371160000,14.0651
10.36.199.110:58489,111.10.17.149:5010,30,2280 bytes,30,2280 bytes,60,4560 bytes,1019.371190000,14.0493
