addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.1.32.129:40087,36.151.209.25:8000,47168,54 MB,125318,83 MB,172486,137 MB,260.613283000,1714.2187
2409:894d:c50:4e12:cc58:4dff:fe78:646f:55689,2409:8c20:a074:116::15:8080,3526,3972 kB,5890,2893 kB,9416,6866 kB,30.763810000,181.0341
2409:894d:c50:4e12:cc58:4dff:fe78:646f:46191,2409:8c20:a074:114::2f:8080,2257,2514 kB,6078,2593 kB,8335,5108 kB,145.549599000,88.6017
2409:894d:c50:4e12:cc58:4dff:fe78:646f:37322,2409:894d:c98:4c27:1873:91df:af8c:b804:40443,69,15 kB,5354,1028 kB,5423,1044 kB,38.032843000,1936.7548
10.1.32.129:45785,36.151.209.29:8000,828,707 kB,1748,854 kB,2576,1561 kB,225.049891000,100.0395
10.1.32.129:54338,223.104.122.118:13179,0,0 bytes,72,12 kB,72,12 kB,38.026812000,15.7028
10.1.32.129:54338,10.102.6.178:32296,0,0 bytes,36,6333 bytes,36,6333 bytes,38.018697000,15.7109
10.1.32.129:54338,223.104.122.102:46675,0,0 bytes,36,6333 bytes,36,6333 bytes,38.019558000,15.7101
10.1.32.129:54338,223.104.122.102:46676,0,0 bytes,36,6333 bytes,36,6333 bytes,38.020465000,15.7092
10.1.32.129:54338,223.104.122.102:46677,0,0 bytes,36,6333 bytes,36,6333 bytes,38.021664000,15.7080
