addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.42.63.19:47661,36.155.209.51:12114,33994,8129 kB,38400,4422 kB,72394,12 MB,98.254314000,1472.0981
10.42.63.19:45404,36.151.54.79:16285,1174,131 kB,1141,160 kB,2315,292 kB,99.700196000,1462.4519
10.42.63.19:48047,183.194.237.51:5010,283,18 kB,298,86 kB,581,105 kB,98.593921000,1465.4148
10.42.63.19:53156,36.155.220.17:12114,199,23 kB,207,27 kB,406,50 kB,103.261249000,480.6927
10.42.63.19:57127,183.194.189.203:17005,155,9920 bytes,166,58 kB,321,68 kB,55.089946000,1509.8132
10.42.63.19:53364,120.232.27.228:5010,50,3800 bytes,50,3800 bytes,100,7600 bytes,56.096731000,84.6603
10.42.63.19:39203,36.155.163.65:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,56.096707000,84.6603
10.42.63.19:45066,111.10.17.149:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,56.096744000,84.6502
10.42.63.19:58574,111.30.183.207:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,56.096767000,84.6603
10.42.63.19:35986,183.194.237.51:5009,18,2784 bytes,30,3360 bytes,48,6144 bytes,104.784708000,2.3042
