addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.32.29.99:40540,183.215.49.25:443,229511,162 MB,64200,10 MB,293711,173 MB,25.145901000,2298.8298
10.32.29.99:37555,117.185.255.89:8000,1254,129 kB,2312,243 kB,3566,373 kB,24.714720000,2317.5091
10.32.29.99:44416,81.69.145.161:443,417,116 kB,398,61 kB,815,178 kB,18.809028000,1671.1999
10.32.29.99:57250,81.69.145.161:443,137,24 kB,134,17 kB,271,42 kB,1689.303047000,689.0855
10.32.29.99:34516,42.194.252.235:443,77,85 kB,85,54 kB,162,139 kB,0.542670000,1.1787
10.32.29.99:51899,175.178.30.203:443,68,76 kB,77,47 kB,145,123 kB,19.443491000,1.3449
10.32.29.99:58304,175.178.30.203:443,58,70 kB,54,26 kB,112,97 kB,25.537483000,0.5289
10.32.29.99:58154,111.42.180.73:443,50,39 kB,50,39 kB,100,79 kB,2314.207291000,5.2878
10.32.29.99:35913,39.175.114.82:8000,50,39 kB,50,39 kB,100,79 kB,2320.539131000,5.3057
10.32.29.99:41837,112.49.56.106:8000,50,39 kB,50,39 kB,100,79 kB,2326.908666000,6.2290
