addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.27.129.202:54595,120.221.180.32:443,297317,139 MB,204327,61 MB,501644,201 MB,76.149659000,2181.8021
10.27.129.202:52009,117.185.255.124:8000,1189,123 kB,2203,239 kB,3392,362 kB,75.050837000,2192.4891
10.27.129.202:57578,81.69.145.161:443,519,130 kB,502,77 kB,1021,207 kB,60.249171000,2220.4176
10.27.129.202:57160,175.178.30.203:443,99,101 kB,91,55 kB,190,156 kB,60.692931000,1.1920
10.27.129.202:38413,124.223.125.213:443,58,89 kB,68,20 kB,126,110 kB,62.279745000,104.8269
10.27.129.202:41981,175.178.30.203:443,59,71 kB,54,26 kB,113,97 kB,76.781027000,0.5803
10.27.129.202:39635,36.158.247.102:8005,50,39 kB,50,39 kB,100,79 kB,2247.504307000,6.1337
10.27.129.202:35717,36.151.54.115:443,50,39 kB,50,39 kB,100,79 kB,2254.671307000,6.1633
10.27.129.202:57646,36.156.174.138:443,50,39 kB,50,39 kB,100,79 kB,2262.541670000,5.3134
10.27.129.202:34478,124.223.125.213:443,23,57 kB,25,4680 bytes,48,62 kB,74.225527000,0.6603
