addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:894d:cdb:6e30:1871:99ac:be07:707c:33866,2409:894d:d05:276:69:31ff:fe07:381f:41721,351468,290 MB,160021,96 MB,511489,387 MB,36.091886000,3556.4534
2409:894d:d05:276:69:31ff:fe07:381f:57315,2409:8c54:1841:2045::15:8080,90568,22 MB,120627,31 MB,211195,53 MB,28.820225000,3563.6584
2409:894d:d05:276:69:31ff:fe07:381f:50082,2409:8c34:c00:308::19:16285,30,8040 bytes,30,8040 bytes,60,16 kB,3593.391518000,0.9584
2409:894d:d05:276:69:31ff:fe07:381f:42279,2409:8c4c:e00:453:31:::16285,29,7772 bytes,30,8040 bytes,59,15 kB,3594.342163000,0.9598
10.78.12.4:58852,42.81.196.39:8000,0,0 bytes,20,2937 bytes,20,2937 bytes,38.893862000,6.8302
10.78.12.4:60560,111.48.10.188:53,3,276 bytes,3,276 bytes,6,552 bytes,242.826277000,3258.4677
10.78.12.4:45075,111.48.10.188:53,2,183 bytes,2,183 bytes,4,366 bytes,175.072265000,311.5084
10.78.12.4:7608,111.48.10.188:53,2,182 bytes,2,182 bytes,4,364 bytes,176.111798000,2096.9277
10.78.12.4:61606,111.48.10.188:53,2,183 bytes,2,183 bytes,4,366 bytes,183.411308000,3306.0561
10.78.12.4:9860,111.48.10.188:53,2,183 bytes,2,183 bytes,4,366 bytes,239.692057000,2320.3353
