addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:38055,240a:42c0:1800:98e0:3c8e:53ff:fef1:f73:36176,82706,183 MB,203685,214 MB,286391,398 MB,193.241381000,1731.1235
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:33335,2409:8c4c:e00:453:17:::8080,19733,5668 kB,41161,11 MB,60894,17 MB,171.940686000,1752.4215
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:50861,2409:8c34:d00:212::22:16285,27,7836 bytes,30,8040 bytes,57,15 kB,1925.039693000,6.9724
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:39214,2409:8c50:a00:4051::27:16285,10,6680 bytes,30,8040 bytes,40,14 kB,1925.992797000,6.0193
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:35628,2409:8c4c:e00:452:37:::8000,7,1062 bytes,15,4525 bytes,22,5587 bytes,150.483700000,4.2138
10.47.142.158:55027,117.144.245.68:8000,0,0 bytes,20,2940 bytes,20,2940 bytes,196.071218000,6.8251
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:4517,2409:8080:2000:3::2:53,2,235 bytes,2,219 bytes,4,454 bytes,28.425568000,1903.5865
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:31130,2409:8080:2000:3::2:53,2,224 bytes,2,224 bytes,4,448 bytes,68.247271000,245.0394
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:16195,2409:8080:2000:3::2:53,2,219 bytes,2,219 bytes,4,438 bytes,84.278290000,187.3523
240a:42c4:1800:4b6b:9cff:c6ff:fe5f:9015:9458,2409:8080:2000:3::2:53,2,224 bytes,2,224 bytes,4,448 bytes,104.588959000,104.3120
