addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:33550,2409:894d:cdd:2a51:1874:52e:ffbd:8cbe:34792,60962,73 MB,275511,266 MB,336473,340 MB,7594.341172000,2094.6885
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:35286,2409:8c50:da00:105::20:8080,9411,1778 kB,62897,14 MB,72308,16 MB,7590.108096000,2098.8611
10.139.14.220:57106,42.81.196.36:8080,0,0 bytes,20,2939 bytes,20,2939 bytes,7597.226704000,6.8248
10.140.176.74:49892,36.155.240.148:443,6,3358 bytes,5,2474 bytes,11,5832 bytes,44.098576000,0.1608
10.140.176.74:44781,101.35.76.132:443,5,595 bytes,5,485 bytes,10,1080 bytes,5.295076000,45.0641
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:43695,2409:803c:2000:4::131:53,2,529 bytes,2,235 bytes,4,764 bytes,7582.945581000,1026.8499
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:34982,2409:803c:2000:4::131:53,2,222 bytes,2,222 bytes,4,444 bytes,7607.751031000,957.3016
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:28614,2409:803c:2000:4::131:53,2,403 bytes,2,231 bytes,4,634 bytes,7622.259958000,1760.5155
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:4066,2409:803c:2000:4::131:53,2,222 bytes,2,222 bytes,4,444 bytes,7628.509118000,1626.9563
2409:893d:c86:80c4:502e:d3ff:fe11:b79f:6734,2409:803c:2000:4::131:53,2,223 bytes,2,223 bytes,4,446 bytes,7643.179373000,632.2845
