addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:56552,221.178.66.158:36304,9766,1717 kB,13966,1649 kB,23732,3366 kB,58.688817000,582.5549
10.161.151.11:42815,36.151.54.30:16285,400,42 kB,467,63 kB,867,105 kB,59.395733000,589.1991
10.161.151.11:44252,183.194.190.204:5010,120,7928 bytes,122,33 kB,242,41 kB,59.097087000,590.9018
10.161.151.11:50737,221.181.81.139:17005,94,6016 bytes,96,33 kB,190,39 kB,29.445767000,749.9411
10.161.151.11:60285,120.232.27.228:5010,80,6080 bytes,80,6080 bytes,160,12 kB,30.483953000,734.0675
10.161.151.11:38609,36.155.163.65:5010,80,6080 bytes,80,6080 bytes,160,12 kB,30.483993000,734.0487
10.161.151.11:40374,111.10.17.149:5010,80,6080 bytes,80,6080 bytes,160,12 kB,30.484044000,734.0674
10.161.151.11:43817,111.30.183.207:5010,80,6080 bytes,80,6080 bytes,160,12 kB,30.484060000,734.0674
10.161.151.11:51090,183.194.237.51:5009,9,1712 bytes,20,2240 bytes,29,3952 bytes,65.050358000,1.2277
10.161.151.11:40921,183.194.237.51:5009,10,1120 bytes,10,4010 bytes,20,5130 bytes,178.433916000,1.0215
