addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
240a:42c4:1801:c55:8461:dfff:feeb:a430:31684,2408:844f:d26:16d0::1:32217,100007,247 MB,212849,246 MB,312856,494 MB,0.000000000,1704.1711
240a:42c4:1801:c55:8461:dfff:feeb:a430:49888,2409:8c50:da00:100::20:8080,37579,12 MB,17911,4846 kB,55490,17 MB,0.044188000,1704.0928
10.40.143.247:39065,43.239.172.2:53,3,273 bytes,3,273 bytes,6,546 bytes,568.313790000,468.4841
10.40.143.247:21166,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,45.368988000,586.7326
10.40.143.247:3985,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,49.538667000,1280.2836
10.40.143.247:13020,43.239.172.2:53,2,186 bytes,2,186 bytes,4,372 bytes,99.845835000,953.9282
10.40.143.247:58009,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,157.107961000,844.8132
10.40.143.247:26116,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,176.991264000,177.4801
10.40.143.247:49423,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,195.842125000,1276.9937
10.40.143.247:36933,43.239.172.2:53,2,182 bytes,2,182 bytes,4,364 bytes,275.156689000,9.5149
