addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:48625,221.178.70.31:17037,14409,2499 kB,21000,2444 kB,35409,4943 kB,69.104905000,811.7270
10.161.151.11:43020,36.151.54.30:80,627,66 kB,642,87 kB,1269,153 kB,69.751932000,818.8778
10.161.151.11:60806,183.194.190.204:5010,163,10 kB,168,46 kB,331,57 kB,69.613550000,820.0354
10.161.151.11:49452,221.181.81.139:17005,63,4032 bytes,65,23 kB,128,27 kB,31.128964000,880.5782
10.161.151.11:33806,36.155.163.65:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.039026000,80.0871
10.161.151.11:57392,120.232.27.228:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.039052000,80.0875
10.161.151.11:45639,111.10.17.149:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.039069000,80.0875
10.161.151.11:42453,111.31.240.184:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.039083000,80.0871
10.161.151.11:48356,183.194.237.51:5009,10,1120 bytes,10,4020 bytes,20,5140 bytes,228.116177000,0.9752
10.161.151.11:37483,183.194.237.51:5009,10,1120 bytes,10,4030 bytes,20,5150 bytes,291.064532000,1.0433
