addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.160.80.231:41604,111.33.125.72:21672,17240,3562 kB,20049,2301 kB,37289,5864 kB,115.649125000,964.7517
10.160.80.231:54867,36.151.54.97:8080,733,78 kB,755,105 kB,1488,184 kB,125.243268000,963.2132
10.160.80.231:52420,111.33.125.72:21672,442,54 kB,399,53 kB,841,107 kB,125.656016000,951.3031
10.160.80.231:41015,183.194.237.51:5010,193,12 kB,198,56 kB,391,68 kB,121.723470000,975.1051
10.160.80.231:51498,221.181.81.139:17005,88,5648 bytes,93,34 kB,181,40 kB,30.825711000,1071.3394
10.160.80.231:55306,111.33.125.72:21672,102,8160 bytes,1,86 bytes,103,8246 bytes,116.571559000,24.6644
10.160.80.231:52696,36.155.213.46:5010,45,3560 bytes,50,3800 bytes,95,7360 bytes,31.715244000,89.8395
10.160.80.231:53627,120.232.24.98:5010,45,3560 bytes,50,3800 bytes,95,7360 bytes,31.715281000,89.8649
10.160.80.231:36478,111.10.17.149:5010,45,3560 bytes,50,3800 bytes,95,7360 bytes,31.715299000,89.8058
10.160.80.231:57687,111.31.240.184:5010,44,3512 bytes,50,3800 bytes,94,7312 bytes,31.715314000,89.8394
