addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.19.11.109:49929,42.187.184.109:8000,86389,48 MB,141508,111 MB,227897,160 MB,1219.041152000,743.0506
10.19.11.109:47000,42.187.184.206:8008,53484,36 MB,88548,70 MB,142032,106 MB,804.554265000,482.6791
10.19.11.109:35905,42.187.184.109:8007,18318,4777 kB,26833,19 MB,45151,23 MB,1875.156844000,292.2177
10.19.11.109:39940,120.221.180.30:443,32855,17 MB,9738,1750 kB,42593,18 MB,2400.005147000,428.0745
10.19.11.109:41424,120.221.180.142:443,20915,6604 kB,13425,5951 kB,34340,12 MB,2077.124079000,320.1916
10.19.11.109:42558,109.244.170.197:8000,4687,2770 kB,7274,2134 kB,11961,4905 kB,531.260243000,233.1686
10.19.11.109:35819,120.221.180.28:443,4225,2115 kB,6450,1666 kB,10675,3782 kB,674.165002000,155.4931
10.19.11.109:51510,120.221.180.95:443,4262,1220 kB,4561,1376 kB,8823,2597 kB,739.660271000,154.8055
10.19.11.109:44558,42.187.184.206:443,2698,789 kB,5683,4286 kB,8381,5076 kB,1196.745427000,112.3506
10.19.11.109:52640,42.187.184.25:8008,1970,626 kB,496,94 kB,2466,720 kB,2737.930813000,29.6180
