addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.161.151.11:34458,221.178.70.26:46112,12740,2387 kB,18633,2180 kB,31373,4568 kB,150.099819000,693.1315
10.161.151.11:57420,120.222.225.161:16285,569,60 kB,606,82 kB,1175,143 kB,91.630607000,759.0735
10.161.151.11:54640,221.178.70.26:46112,146,61 kB,949,143 kB,1095,205 kB,91.054198000,58.9203
10.161.151.11:35524,183.194.190.204:5010,139,9174 bytes,141,39 kB,280,48 kB,152.146238000,699.7412
10.161.151.11:53801,221.178.70.26:46112,13,6360 bytes,239,39 kB,252,45 kB,149.781964000,0.3223
10.161.151.11:54498,221.178.70.26:46112,8,6120 bytes,239,39 kB,247,45 kB,149.781341000,0.2456
10.161.151.11:58570,221.178.70.26:46112,10,4224 bytes,156,25 kB,166,29 kB,149.782511000,0.3424
10.161.151.11:42010,221.181.81.139:17005,72,4624 bytes,77,27 kB,149,32 kB,25.183097000,834.6870
10.161.151.11:59788,36.155.213.46:5010,40,3040 bytes,50,3800 bytes,90,6840 bytes,26.100540000,82.2009
10.161.151.11:53344,120.232.24.98:5010,40,3040 bytes,50,3800 bytes,90,6840 bytes,26.100586000,82.2009
