addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.41.68.46:58704,36.155.199.42:10498,24980,4396 kB,27222,3152 kB,52202,7549 kB,69.722584000,1226.3319
10.41.68.46:33968,120.222.225.153:80,1119,136 kB,961,136 kB,2080,272 kB,70.443764000,1234.3707
10.41.68.46:56259,183.194.237.51:5010,240,15 kB,252,73 kB,492,88 kB,70.144091000,1235.8644
10.41.68.46:48737,183.194.189.203:17005,187,11 kB,198,68 kB,385,80 kB,31.806337000,1285.8300
10.41.68.46:44455,36.155.199.42:10498,90,9654 bytes,85,10 kB,175,20 kB,74.728527000,155.3630
10.41.68.46:41839,120.232.24.98:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.612936000,81.5738
10.41.68.46:42785,36.155.163.65:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.612977000,81.5578
10.41.68.46:53264,111.10.17.149:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.612991000,81.5738
10.41.68.46:37830,111.31.240.184:5010,49,3752 bytes,50,3800 bytes,99,7552 bytes,32.613045000,81.5737
10.41.68.46:40695,183.194.207.203:8011,0,0 bytes,27,11 kB,27,11 kB,33.480535000,1269.6152
