addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.47.59.22:50314,36.155.199.42:10719,12080,2154 kB,18730,2187 kB,30810,4342 kB,137.964069000,651.9205
10.47.59.22:52173,120.222.225.139:80,579,64 kB,519,73 kB,1098,137 kB,138.509698000,658.0421
10.47.59.22:53464,183.194.190.204:5010,134,8852 bytes,136,39 kB,270,47 kB,138.252598000,659.4697
10.47.59.22:44452,183.194.189.203:17005,94,6016 bytes,95,33 kB,189,39 kB,36.384336000,783.2215
10.47.59.22:37532,36.155.199.152:10719,79,8522 bytes,83,10 kB,162,19 kB,142.969795000,150.2819
10.47.59.22:52057,111.10.17.149:5010,58,4464 bytes,60,4560 bytes,118,9024 bytes,37.089837000,139.9915
10.47.59.22:34828,111.31.240.184:5010,57,4416 bytes,60,4560 bytes,117,8976 bytes,37.089850000,139.9972
10.47.59.22:51629,36.155.213.46:5010,56,4368 bytes,60,4560 bytes,116,8928 bytes,37.089807000,139.9916
10.47.59.22:41532,120.232.27.228:5010,56,4368 bytes,60,4560 bytes,116,8928 bytes,37.089823000,139.9972
10.47.59.22:53029,183.194.237.51:5009,30,3360 bytes,30,3360 bytes,60,6720 bytes,144.337059000,2.5496
