addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.183.29.9:47001,111.31.245.62:22664,11769,2082 kB,18960,2167 kB,30729,4250 kB,98.714681000,709.9331
10.183.29.9:48487,183.255.204.65:16285,639,71 kB,565,79 kB,1204,150 kB,99.227185000,717.0462
10.183.29.9:33534,183.194.190.204:5010,145,9578 bytes,145,41 kB,290,50 kB,98.945109000,718.4882
10.183.29.9:55313,111.33.110.17:22664,162,28 kB,94,12 kB,256,40 kB,103.715324000,186.3594
10.183.29.9:42580,183.194.189.203:17005,70,4480 bytes,71,26 kB,141,31 kB,50.837811000,849.2327
10.183.29.9:46288,36.155.213.46:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,51.869484000,140.0016
10.183.29.9:42884,120.232.27.228:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,51.869516000,140.0098
10.183.29.9:39978,111.10.17.149:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,51.869531000,140.0026
10.183.29.9:41086,111.31.240.184:5010,60,4560 bytes,60,4560 bytes,120,9120 bytes,51.869585000,140.0105
10.183.29.9:57510,36.155.213.46:5010,20,1520 bytes,20,1520 bytes,40,3040 bytes,816.855225000,62.0281
