addr_a,addr_b,frames_a,bytes_a,frames_b,bytes_b,frames_total,bytes_total,rel_start,duration
10.0.169.178:56941,36.155.220.20:12663,19255,3632 kB,28354,3308 kB,47609,6941 kB,145.806408000,1044.6061
10.0.169.178:54375,36.156.174.177:8080,865,95 kB,947,131 kB,1812,226 kB,49.057877000,1148.6306
10.0.169.178:33466,36.155.220.20:12663,421,104 kB,566,56 kB,987,160 kB,48.554898000,97.1914
10.0.169.178:33850,36.155.209.54:12663,289,32 kB,298,40 kB,587,73 kB,447.217723000,739.9297
10.0.169.178:41856,183.194.190.204:5010,210,13 kB,214,62 kB,424,75 kB,145.506592000,1053.6619
10.0.169.178:44216,183.194.189.203:17005,160,10 kB,164,56 kB,324,66 kB,30.972004000,1186.7529
10.0.169.178:32816,36.155.209.54:12663,177,57 kB,26,3174 bytes,203,60 kB,150.809301000,15.1805
10.0.169.178:53340,111.10.17.149:5010,44,3512 bytes,50,3800 bytes,94,7312 bytes,32.090290000,113.6589
10.0.169.178:52675,120.232.24.98:5010,43,3464 bytes,50,3800 bytes,93,7264 bytes,32.090276000,113.6536
10.0.169.178:53644,111.30.183.207:5010,43,3464 bytes,50,3800 bytes,93,7264 bytes,32.090305000,113.6559
